"","X.Intercept.","lgHz"
"a04:b11",2.78901493940768,-1.27101075396174
"a04:b12",2.58491454022051,-1.21014326311679
"a04:b13",2.73905164456729,-1.23704222217132
"a04:b14",2.69297476482531,-1.29484711908253
"a04:b15",2.64579704626537,-1.22431125031373
"a04:b16",2.77565702411989,-1.20806592708446
"a04:b17",3.0326317382147,-1.38693951295031
"a04:b18",2.76491431189682,-1.2278203729153
"a04:b19",2.87812163298456,-1.30983207764205
"a04:b20",2.80617818384938,-1.29790622380129
"a04:posttest",1.92236589480642,-0.901877504677178
"a04:pretest",2.43026709911373,-0.938748656668354
"a05:b01",2.17892570697394,-0.842813498997449
"a05:b02",2.47987770287802,-1.00170691630242
"a05:b03",2.49684113635136,-1.00023149379668
"a05:b04",2.38342494453327,-0.977138960751556
"a05:b05",2.35238249174204,-0.948839727626272
"a05:b06",2.36809778523235,-0.992963230776911
"a05:b07",2.26782666093087,-0.937226076807808
"a05:b08",2.27257341858437,-0.924178331133384
"a05:b09",2.39916257108845,-0.933948394676341
"a05:b10",2.15391470606288,-0.847531881909732
"a05:b11",2.07683439903821,-0.852873772667502
"a05:b12",2.55841338315379,-1.07766970738053
"a05:b13",2.70039356922245,-1.15110505423763
"a05:b14",2.58693063336574,-1.09642086129217
"a05:b15",2.69559838998975,-1.11891432988344
"a05:b16",2.59969737188085,-1.09016074928626
"a05:b17",2.38751835676634,-1.01725988208076
"a05:b18",2.67068751490306,-1.12125627258695
"a05:b19",2.57012961450595,-1.08426405909225
"a05:b20",2.7348674566095,-1.12142527684049
"a05:posttest",2.76910165634345,-1.04429806578425
"a05:pretest",2.393764098208,-0.978935876036423
"a06:b01",3.18633054376963,-1.38089080023947
"a06:b02",3.33410253936696,-1.47248841791281
"a06:b03",3.42521070267119,-1.52375107316003
"a06:b04",3.50237464393702,-1.54773602879843
"a06:b05",3.51789983018421,-1.5683870564089
"a06:b06",3.43355887961968,-1.49498779239792
"a06:b07",3.46935301044794,-1.56211599971347
"a06:b08",3.57380954743777,-1.56730980017685
"a06:b09",3.52519410190435,-1.54055099319377
"a06:b10",3.56080666687045,-1.52570822043829
"a06:b11",3.45387967860719,-1.50943492573185
"a06:b12",3.62776357955665,-1.61517305700508
"a06:b13",3.31105353831959,-1.48460741242175
"a06:b14",3.53038383118499,-1.57198949938469
"a06:b15",3.54583165708166,-1.53240497494649
"a06:b16",3.38400629781301,-1.50212500858916
"a06:b17",3.39982864936448,-1.52757759267905
"a06:b18",3.6544721068189,-1.56347650976545
"a06:b19",3.53901801603687,-1.58260100141133
"a06:b20",3.26133353582318,-1.46414912525538
"a06:posttest",4.04343493894246,-1.64241672747292
"a06:pretest",3.35427664140927,-1.46269000030732
