subID,time,block,difficulty,diffQ,diff,intercept_frontal,lgHz_frontal,intercept_central,lgHz_central,intercept_parietal,lgHz_parietal,intercept_occipital,lgHz_occipital,offset_frontal,slope_frontal,offset_central,slope_central,offset_parietal,slope_parietal,offset_occipital,slope_occipital
a05,prac,b05,P2,Q2,5,1.631518449,-0.925360612,3.041593296,-1.314702303,2.918454752,-1.240376214,2.352382492,-0.948839728,0.832859981,1.103408573,1.23688853,1.273198068,1.232088492,1.263587771,1.014722914,1.009254265
a05,prac,b06,P2,Q2,5,1.472064609,-0.85684055,2.918468677,-1.275190185,2.871855669,-1.246589609,2.368097785,-0.992963231,0.723473431,0.97996244,1.247778572,1.293918658,1.242607801,1.300141479,1.007335333,1.046277085
a05,prac,b07,P3,Q2,6,1.974349938,-1.025591812,3.159652127,-1.358758427,2.911861968,-1.241979846,2.267826661,-0.937226077,0.822589734,0.990012598,1.332325568,1.346441419,1.317904114,1.354224258,0.968132196,0.99277803
a05,prac,b08,E1,Q3,7,1.917459728,-0.973652285,3.188972205,-1.346469905,2.891709791,-1.196472749,2.272573419,-0.924178331,0.800224547,0.955317892,1.347436392,1.334555891,1.213246026,1.180916961,0.976297791,0.976756941
a05,prac,b09,E1,Q3,7,1.926167595,-0.995052183,3.037869003,-1.24768272,2.732790145,-1.074646419,2.399162571,-0.933948395,0.791925319,0.959256407,1.258320289,1.212501022,1.162278295,1.088124152,0.971970158,0.923025285
a05,prac,b10,E3,Q3,9,1.896024885,-0.959142909,2.95887695,-1.209118052,2.46168572,-0.965447068,2.153914706,-0.847531882,0.785845634,0.920849174,1.100614847,1.118424031,0.951574063,0.849228122,0.902631102,0.859861974
a05,prac,b11,N1,Q1,1,1.221592505,-0.699721727,2.669361194,-1.122130871,2.482468467,-1.025271749,2.076834399,-0.852873773,0.582777115,0.805104793,1.095461126,1.096439671,1.068021386,1.088041823,0.901215739,0.94938132
a05,prac,b12,N2,Q1,2,1.340891961,-0.745940579,2.930266387,-1.267543944,3.009533554,-1.290602443,2.558413383,-1.077669707,0.529945335,0.695478653,1.180508531,1.221298549,1.270626045,1.305774471,1.127740903,1.19420185
a05,prac,b13,N3,Q1,3,1.401425238,-0.732351659,2.858455468,-1.24324602,3.015257472,-1.299342267,2.700393569,-1.151105054,0.548180358,0.671894997,1.230366234,1.273007971,1.309739629,1.369356516,1.197638404,1.282819883
a05,prac,b14,P1,Q2,4,1.38059492,-0.696711678,2.857832654,-1.238636185,2.929741768,-1.271868062,2.586930633,-1.096420861,0.776687824,0.93713799,1.259537957,1.311657188,1.285357717,1.349286395,1.158342955,1.231494104
a05,prac,b15,P2,Q2,5,1.537251176,-0.736308148,3.127921311,-1.337878207,3.128582345,-1.332889894,2.69559839,-1.11891433,0.812672955,0.933127965,1.324589633,1.335096869,1.400489169,1.444923243,1.17498726,1.201876066
a05,prac,b16,P3,Q2,6,0.914520563,-0.419532109,2.672028472,-1.126959188,2.888376867,-1.219147044,2.599697372,-1.090160749,0.603904402,0.699765091,1.093043519,1.08800674,1.289729575,1.336682083,1.145401827,1.212532884
a05,prac,b17,E1,Q3,7,1.652953106,-0.801227419,3.291561518,-1.401432139,3.187622599,-1.353745091,2.387518357,-1.017259882,0.672248326,0.755360614,1.39874334,1.398237604,1.362560737,1.375450706,1.020798343,1.084661272
a05,prac,b18,E2,Q3,8,2.159051129,-0.990761963,3.20605116,-1.361270658,3.120621211,-1.309613175,2.670687515,-1.121256273,1.006576665,1.080157343,1.263338519,1.294002026,1.375636648,1.389995471,1.224685073,1.284798327
a05,prac,b19,E3,Q3,9,1.919325889,-0.870604623,3.269552821,-1.355301101,3.12907998,-1.303220617,2.570129615,-1.084264059,0.791803453,0.940917279,1.384980808,1.353843709,1.32516809,1.307605421,1.149208991,1.211130267
a05,prac,b20,N3,Q1,3,1.530680416,-0.755502585,3.02367655,-1.291616692,3.066628593,-1.274089735,2.734867457,-1.121425277,0.609598004,0.699780719,1.32959087,1.35844621,1.402221792,1.427141253,1.213958753,1.249028444
